feature_name,importance
hsa-mir-125a,0.251482
hsa-mir-5003,0.2511887
hsa-mir-367,0.2509312
hsa-mir-519c,0.25044402
hsa-mir-6824,0.24993646
hsa-mir-29c,0.24986455
hsa-mir-335,0.24973483
hsa-mir-512-2,0.24960639
hsa-mir-6820,0.2495008
hsa-mir-579,0.24942797
hsa-mir-6087,0.24918431
hsa-mir-7113,0.24911816
hsa-mir-1179,0.24907078
hsa-mir-4755,0.24892198
hsa-mir-503,0.24891144
hsa-mir-376a-2,0.24865375
hsa-mir-499a,0.24843141
hsa-mir-6744,0.24796243
hsa-mir-943,0.24762575
hsa-mir-6734,0.24753927
hsa-mir-346,0.24752294
hsa-mir-136,0.24738057
hsa-mir-4676,0.24723355
hsa-mir-4738,0.24701892
hsa-mir-130a,0.24671553
hsa-mir-3170,0.24669224
hsa-mir-6516,0.24622792
hsa-mir-4741,0.2462213
hsa-mir-622,0.24592471
hsa-mir-548q,0.24552216
hsa-mir-570,0.24547131
hsa-mir-124-1,0.2451872
hsa-mir-6764,0.24508157
hsa-mir-6860,0.24485035
hsa-mir-6891,0.24482052
hsa-mir-4484,0.24481331
hsa-mir-199a-1,0.24424466
hsa-mir-4726,0.2441988
hsa-mir-6511b-1,0.24364541
hsa-mir-3943,0.24323526
hsa-mir-4758,0.24279799
hsa-mir-708,0.242746
hsa-mir-940,0.24273388
hsa-mir-181d,0.24260385
hsa-mir-6741,0.24237758
hsa-mir-27a,0.24237557
hsa-mir-4791,0.24220918
hsa-mir-6505,0.24205105
hsa-mir-3194,0.24202323
hsa-mir-520f,0.24201654
hsa-mir-1537,0.2417233
hsa-mir-4804,0.24151352
hsa-mir-381,0.24144486
hsa-mir-203a,0.24143937
hsa-mir-4748,0.24132222
hsa-mir-545,0.24091527
hsa-mir-32,0.24071118
hsa-mir-431,0.2405959
hsa-mir-765,0.24054061
hsa-mir-624,0.24037099
hsa-mir-6794,0.24035618
hsa-mir-4654,0.24015269
hsa-mir-6749,0.24008746
hsa-mir-147b,0.24005939
hsa-mir-521-2,0.23987192
hsa-mir-7846,0.2398719
hsa-mir-4727,0.2397717
hsa-mir-217,0.23976478
hsa-mir-24-2,0.2395641
hsa-mir-199a-2,0.23929688
hsa-mir-378c,0.23928592
hsa-mir-4536-1,0.23925522
hsa-mir-517b,0.23889053
hsa-mir-629,0.2386143
hsa-mir-374c,0.23847896
hsa-mir-34a,0.2381943
hsa-mir-1301,0.23771627
hsa-mir-1307,0.23711169
hsa-mir-7703,0.2368126
hsa-mir-449b,0.23678376
hsa-mir-507,0.23677264
hsa-mir-10a,0.23667546
hsa-mir-3622a,0.23656999
hsa-mir-551a,0.23609652
hsa-mir-98,0.23562904
hsa-mir-197,0.23543268
hsa-mir-1225,0.23541354
hsa-mir-4632,0.23535548
hsa-mir-30a,0.23535022
hsa-mir-7-1,0.23532608
hsa-mir-3667,0.2352765
hsa-mir-520b,0.23510523
hsa-mir-939,0.23494881
hsa-mir-421,0.23485245
hsa-mir-4639,0.23478256
hsa-mir-3173,0.23465897
hsa-mir-490,0.23457003
hsa-mir-4433a,0.23451573
hsa-mir-548ba,0.23434854
hsa-mir-875,0.23422831
hsa-mir-33a,0.23414968
hsa-mir-1234,0.23411806
hsa-mir-4659a,0.23398884
hsa-mir-614,0.23394838
hsa-mir-1295a,0.23387767
hsa-mir-4519,0.23385906
hsa-mir-193a,0.23362781
hsa-mir-495,0.23340058
hsa-mir-6747,0.23322181
hsa-mir-519d,0.23310521
hsa-mir-2110,0.2328169
hsa-mir-6781,0.23280571
hsa-mir-153-1,0.23262478
hsa-mir-6733,0.2325809
hsa-mir-1306,0.23199932
hsa-mir-1226,0.23177524
hsa-mir-21,0.23165527
hsa-mir-106b,0.23112532
hsa-mir-133a-2,0.23061566
hsa-mir-502,0.230509
hsa-mir-4787,0.23035209
hsa-mir-519a-2,0.23022434
hsa-mir-3620,0.23018819
hsa-mir-6802,0.2294159
